,calle,num,localidad,prov,cp,par,letra,bestmatch_difflib,bestmatch_fuzzywuzzy,cpa
224,10 ,15.0,Ciervo Petiso,Chaco,3515,False,H,,,"['H3515XAA' 'H3515XAC' 'H3515XAF' 'H3515XAD' 'H3515XAG' 'H3515XAE'
 'H3515XAB' 'H3515XAH' 'H3515BUA' 'H3515BUB' 'H3515BUC' 'H3515BUD'
 'H3515BUE' 'H3515BUF' 'H3515BUG' 'H3515BUH' 'H3515BUI' 'H3515BUJ'
 'H3515BUK' 'H3515BUL' 'H3515BXA' 'H3515BJA' 'H3515BJN' 'H3515BJB'
 'H3515BJO' 'H3515BJC' 'H3515BJP' 'H3515BJD' 'H3515BJQ' 'H3515BJE'
 'H3515BJR' 'H3515BJF' 'H3515BJS' 'H3515BKA' 'H3515BKB' 'H3515BKC'
 'H3515BKD' 'H3515BKE' 'H3515BKF' 'H3515BKG' 'H3515BKH' 'H3515BKI'
 'H3515BKJ' 'H3515BKK' 'H3515BKL' 'H3515BKM' 'H3515BKN' 'H3515BKO'
 'H3515BKP' 'H3515BKQ' 'H3515BKR' 'H3515BIA' 'H3515BIB' 'H3515BIC'
 'H3515BID' 'H3515BIE' 'H3515BIF' 'H3515BIG' 'H3515BIH' 'H3515BII'
 'H3515BIJ' 'H3515BIK' 'H3515BIL' 'H3515BLA' 'H3515BLB' 'H3515BLC'
 'H3515BLD' 'H3515BLE' 'H3515BLF' 'H3515BLG' 'H3515BLH' 'H3515BLI'
 'H3515BLJ' 'H3515BLK' 'H3515BLL' 'H3515BLM' 'H3515BLN' 'H3515BLO'
 'H3515BLP' 'H3515BLQ' 'H3515BLR' 'H3515BLS' 'H3515BLT' 'H3515BMA'
 'H3515BMB' 'H3515BMC' 'H3515BMD' 'H3515BME' 'H3515BMF' 'H3515BMG'
 'H3515BMH' 'H3515BMI' 'H3515BMJ' 'H3515BMK' 'H3515BML' 'H3515BNA'
 'H3515BNB' 'H3515BNC' 'H3515BND' 'H3515BNE' 'H3515BNF' 'H3515BNG'
 'H3515BNH' 'H3515BNI' 'H3515BNJ' 'H3515BNK' 'H3515BNL' 'H3515BNM'
 'H3515BNN' 'H3515BOA' 'H3515BON' 'H3515BOB' 'H3515BOO' 'H3515BOC'
 'H3515BOP' 'H3515BOD' 'H3515BOQ' 'H3515BOE' 'H3515BOR' 'H3515BOF'
 'H3515BOS' 'H3515BOG' 'H3515BOT' 'H3515BYC' 'H3515BPA' 'H3515BPB'
 'H3515BPC' 'H3515BPD' 'H3515BPE' 'H3515BPF' 'H3515BPG' 'H3515BPH'
 'H3515BPI' 'H3515BPJ' 'H3515BPK' 'H3515BPL' 'H3515BPM' 'H3515BPN'
 'H3515BPO' 'H3515BPP' 'H3515BPQ' 'H3515BPR' 'H3515BPS' 'H3515BPT'
 'H3515BQA' 'H3515BQB' 'H3515BQC' 'H3515BQD' 'H3515BQE' 'H3515BQF'
 'H3515BQG' 'H3515BQH' 'H3515BQI' 'H3515BQJ' 'H3515BQK' 'H3515BQL'
 'H3515BQM' 'H3515BQN' 'H3515BQO' 'H3515BQP' 'H3515BQQ' 'H3515BQR'
 'H3515BZA' 'H3515CAA' 'H3515BRA' 'H3515BRB' 'H3515BRC' 'H3515BRD'
 'H3515BRE' 'H3515BRF' 'H3515BRG' 'H3515BRH' 'H3515BRI' 'H3515BRJ'
 'H3515BSA' 'H3515BSB' 'H3515BSC' 'H3515BSD' 'H3515BSE' 'H3515BSF'
 'H3515BSG' 'H3515BSH' 'H3515BSI' 'H3515BSJ' 'H3515BSK' 'H3515BSL'
 'H3515BTA' 'H3515BTB' 'H3515BTC' 'H3515BTD' 'H3515BTE' 'H3515BTF'
 'H3515BTG' 'H3515BTH' 'H3515BTI' 'H3515BTJ' 'H3515BTK' 'H3515BTL'
 'H3515BTM' 'H3515BTN' 'H3515BDA' 'H3515BDB' 'H3515BDC' 'H3515BDD'
 'H3515BDE' 'H3515BDF' 'H3515BDG' 'H3515BDH' 'H3515BDI' 'H3515BDJ'
 'H3515BDK' 'H3515BDL' 'H3515BDM' 'H3515BDN' 'H3515BDO' 'H3515BDP'
 'H3515BDQ' 'H3515BDR' 'H3515BEA' 'H3515BEB' 'H3515BEC' 'H3515BED'
 'H3515BEE' 'H3515BEF' 'H3515BEG' 'H3515BEH' 'H3515BEI' 'H3515BEJ'
 'H3515BEK' 'H3515BEL' 'H3515BXB' 'H3515BFA' 'H3515BFN' 'H3515BFB'
 'H3515BFO' 'H3515BFC' 'H3515BFP' 'H3515BFD' 'H3515BFQ' 'H3515BFE'
 'H3515BFR' 'H3515BFF' 'H3515BFS' 'H3515BFG' 'H3515BFT' 'H3515BFH'
 'H3515BFU' 'H3515BFI' 'H3515BFV' 'H3515BYA' 'H3515BGA' 'H3515BGB'
 'H3515BGC' 'H3515BGD' 'H3515BGE' 'H3515BGF' 'H3515BGG' 'H3515BGH'
 'H3515BGI' 'H3515BGJ' 'H3515BGK' 'H3515BGL' 'H3515BGM' 'H3515BGN'
 'H3515BGO' 'H3515BGP' 'H3515BGQ' 'H3515BGR' 'H3515BGS' 'H3515BGT'
 'H3515BHA' 'H3515BHB' 'H3515BHC' 'H3515BHD' 'H3515BHE' 'H3515BHF'
 'H3515BHG' 'H3515BHH' 'H3515BHI' 'H3515BHJ' 'H3515BHK' 'H3515BHL'
 'H3515BHM' 'H3515BHN' 'H3515BHO' 'H3515BHP' 'H3515BHQ' 'H3515BHR'
 'H3515BVA' 'H3515BWA' 'H3532ATA' 'H3532BHA' 'H3532BIA' 'H3532BJA'
 'H3532ATA' 'H3532BHA' 'H3532BIA' 'H3532BJA' 'H3532ATA' 'H3532BHA'
 'H3532BIA' 'H3532BJA' 'H3532ATA' 'H3532BHA' 'H3532BIA' 'H3532BJA'
 'H3517AAA' 'H3517AAB' 'H3517AAC' 'H3517AAD' 'H3517AAE' 'H3517AAF'
 'H3517AAG' 'H3517AAH' 'H3517AAI' 'H3517AAJ' 'H3517AAK' 'H3517AAL'
 'H3517ABA' 'H3517ABN' 'H3517ABB' 'H3517ABO' 'H3517ABC' 'H3517ABP'
 'H3517ABD' 'H3517ABQ' 'H3517ABE' 'H3517ABR' 'H3517ABF' 'H3517ABS'
 'H3517ACA' 'H3517ACB' 'H3517ACC' 'H3517ACD' 'H3517ACE' 'H3517ACF'
 'H3517ACG' 'H3517ACH' 'H3517ACI' 'H3517ACJ' 'H3517ACK' 'H3517ACL'
 'H3517ADA' 'H3517ADB' 'H3517ADC' 'H3517ADD' 'H3517ADE' 'H3517ADF'
 'H3517ADG' 'H3517ADH' 'H3517ADI' 'H3517ADJ' 'H3517ADK' 'H3517ADL'
 'H3517ADM' 'H3517ADN' 'H3517ADO' 'H3517ADP' 'H3517ADQ' 'H3517ADR'
 'H3517AEA' 'H3517AEB' 'H3517AEC' 'H3517AED' 'H3517AEE' 'H3517AEF'
 'H3517AEG' 'H3517AEH' 'H3517AEI' 'H3517AEJ' 'H3517AEK' 'H3517AEL'
 'H3517AFA' 'H3517AFB' 'H3517AFC' 'H3517AFD' 'H3517AFE' 'H3517AFF'
 'H3517AFG' 'H3517AFH' 'H3517AFI' 'H3517AFJ' 'H3517AFK' 'H3517AFL'
 'H3517AGA' 'H3517AGN' 'H3517AGB' 'H3517AGO' 'H3517AGC' 'H3517AGP'
 'H3517AGD' 'H3517AGQ' 'H3517AGE' 'H3517AGR' 'H3517AGF' 'H3517AGS'
 'H3517AHA' 'H3517AHB' 'H3517AHC' 'H3517AHD' 'H3517AHE' 'H3517AHF'
 'H3517AHG' 'H3517AHH' 'H3517AHI' 'H3517AHJ' 'H3517AHK' 'H3517AHL'
 'H3517AHM' 'H3517AHN' 'H3517AHO' 'H3517AHP' 'H3517AHQ' 'H3517AHR'
 'H3517AIA' 'H3517AIB' 'H3517AIC' 'H3517AID' 'H3517AIE' 'H3517AIF'
 'H3517AIG' 'H3517AIH' 'H3517AII' 'H3517AIJ' 'H3517AIK' 'H3517AIL'
 'H3517AIM' 'H3517AIN' 'H3517AIO' 'H3517AIP' 'H3517AIQ' 'H3517AIR'
 'H3517AJA' 'H3517AJB' 'H3517AJC' 'H3517AJD' 'H3517AJE' 'H3517AJF'
 'H3517AJG' 'H3517AJH' 'H3517AJI' 'H3517AJJ' 'H3517AKC' 'H3517AKD'
 'H3517AKE' 'H3517AKF' 'H3517AKG' 'H3517AKH' 'H3517AKI' 'H3517AKJ'
 'H3517AKK' 'H3517AKL' 'H3517AKM' 'H3517AKN' 'H3517ALA' 'H3517ALB'
 'H3517ALC' 'H3517ALD' 'H3517ALE' 'H3517ALF' 'H3517ALG' 'H3517ALH'
 'H3517ALI' 'H3517ALJ' 'H3517ALK' 'H3517ALL' 'H3517AMA' 'H3517AMB'
 'H3517AMC' 'H3517AMD' 'H3517AME' 'H3517AMF' 'H3517AMG' 'H3517AMH'
 'H3517AMI' 'H3517AMJ' 'H3517AMK' 'H3517AML' 'H3517AMM' 'H3517AMN'
 'H3517AMO' 'H3517AMP' 'H3517AMQ' 'H3517AMR' 'H3517ANA' 'H3517ANB'
 'H3517ANC' 'H3517AND' 'H3517ANE' 'H3517ANF' 'H3517ANG' 'H3517ANH'
 'H3517ANI' 'H3517ANJ' 'H3517ANK' 'H3517ANL' 'H3517AOA' 'H3517AON'
 'H3517AOB' 'H3517AOO' 'H3517AOC' 'H3517AOP' 'H3517AOD' 'H3517AOQ'
 'H3517AOE' 'H3517AOR' 'H3517AOF' 'H3517AOS' 'H3517AOG' 'H3517AOT'
 'H3517AOH' 'H3517AOU' 'H3517AOI' 'H3517AOV' 'H3517APA' 'H3517APB'
 'H3517APC' 'H3517APD' 'H3517APE' 'H3517APF' 'H3517APG' 'H3517APH'
 'H3517API' 'H3517APJ' 'H3517APK' 'H3517APL' 'H3517APM' 'H3517APN'
 'H3517APO' 'H3517APP' 'H3517APQ' 'H3517APR' 'H3517AQA' 'H3517AQB'
 'H3517AQC' 'H3517AQD' 'H3517AQE' 'H3517AQF' 'H3517AQG' 'H3517AQH'
 'H3517AQI' 'H3517AQJ' 'H3517AQK' 'H3517AQL' 'H3517AQM' 'H3517AQN'
 'H3517AQO' 'H3517AQP' 'H3517AQQ' 'H3517AQR' 'H3533ARA' 'H3533ASA'
 'H3533ARA' 'H3533ASA']"
225,aconcagua,1170.0,Junín,Provincia de Buenos Aires,6000,True,B,calle aconcagua,calle aconcagua,['B1882EIR' 'B1722PQH' 'B1629IDB' 'B1865KWX' 'B7500HIZ']
226,avenida santa catalina,2663.0,Posadas,Misiones,3301,False,N,,,['N3301ALA' 'N3301ALB' 'N3301ALC' ... 'N3301KNF' 'N3301NGA' 'N3301NGB']
227,yapeyu,,San Salvador de Jujuy,Jujuy,4600,False,Y,calle yapeyu,calle yapeyu,['Y4600XBH' 'Y4600XAA' 'Y4600XBI' ... 'Y4604GMN' 'Y4604GMO' 'Y4604GMP']
228,avenida lafuente,87.0,Comuna 7,Buenos Aires,1406,False,C,avenida lafuente,avenida lafuente,['C1406ETA']
229,varela,23.0,Chascomús,Provincia de Buenos Aires,1130,False,B,,,"['C1130ABA' 'C1130ABB' 'C1130ABC' 'C1130ABD' 'C1130ABE' 'C1130ABF'
 'C1130ABG' 'C1130ABH' 'C1130ABI' 'C1130ABJ' 'C1130ABK' 'C1130ABL'
 'C1130ABM' 'C1130ABN' 'C1130ACA' 'C1130ACB' 'C1130ACC' 'C1130ACD'
 'C1130ACE' 'C1130ACF' 'C1130AAA' 'C1130AAB' 'C1130AAC' 'C1130AAD'
 'C1130AAE' 'C1130AAF' 'C1130AAG' 'C1130AAH' 'C1130AAI' 'C1130AAJ'
 'C1130AAK' 'C1130AAL' 'C1130AAM' 'C1130AAN']"
230,riobamba,,Máximo paz,Santa Fe,2556,False,S,,,['S2124XAD' 'S2732XAA' 'S6106XAE' ... 'S2409APH' 'S2409API' 'S2409APJ']
231,avenida diaz velez,3779.0,Comuna 5,Buenos Aires,1200,False,C,avenida gral diaz velez,avenida gral diaz velez,['C1200AAE']
232,victoria ocampo,1769.0,Neuquén,Neuquén,8300,False,Q,calle victoria ocampo,calle victoria ocampo,['Q8300XAC' 'Q8300XAD' 'Q8300XAA' ... 'Q8302AND' 'Q8302ANE' 'Q8302ANF']
233,jujuy,834.0,San Salvador de Jujuy,Jujuy,1657,True,Y,calle jujuy,calle jujuy,['B1657CJF']
234,rufino cuervo,1575.0,Córdoba,Córdoba,5009,False,X,,,['X5009LAA' 'X5009LAB' 'X5009LAC' ... 'X5009LXB' 'X5009LXA' 'X5009LXB']
235,aristobulo del valle,3504.0,Claypole,Provincia de Buenos Aires,1849,True,B,calle aristobulo del valle,calle aristobulo del valle,['B1849HYZ']
236,jose hernandez,4885.0,Córdoba,Córdoba,5019,False,X,calle jose pedroni,,['X5019XAD' 'X5019XAC' 'X5019XAA' ... 'X5019AFF' 'X5019AFG' 'X5019AFH']
237,wilde,929.0,Rosario,Santa Fe,2006,False,S,,,['S2006GZA' 'S2006GZA' 'S2006GZA' ... 'S2006DSD' 'S2006DSE' 'S2006DSF']
238,monte egmont,5050.0,Rafael Castillo,Provincia de Buenos Aires,1755,True,B,calle monte egmont,calle monte egmont,['B1755GNA' 'B1755GNC' 'B1755GNE' ... 'B1755BDN' 'B1755BDO' 'B1755BDP']
239,montiel,365.0,Burzaco,Provincia de Buenos Aires,1852,False,B,calle montiel,calle montiel,['B1852IOG']
240,roque perez,883.0,Villa Sarmiento,Provincia de Buenos Aires,1706,False,B,calle roque perez,calle roque perez,['B1707BCG']
241,misiones,757.0,Comuna 3,Buenos Aires,1849,False,C,calle misiones,calle misiones,['B1849FDO']
242,doctor juan felipe aranguren,3945.0,CABA,Buenos Aires,1407,False,C,calle dr juan f aranguren,calle dr juan f aranguren,['C1407ELM']
243,juan domingo peron esq rivadavia,,Joaquín V Gonzalez,Salta,4448,False,A,avenida bernardino rivadavia,,"['A4448XAQ' 'A4448XBB' 'A4448XAC' 'A4448XAD' 'A4448XAZ' 'A4448XAE'
 'A4448XBA' 'A4448XAG' 'A4448XAI' 'A4448XBD' 'A4448XBE' 'A4448XBC'
 'A4448XAV' 'A4448XBF' 'A4448XBG' 'A4448XAJ' 'A4448XAL' 'A4448XAW'
 'A4448XAM' 'A4448XAN' 'A4448XAP' 'A4448AAA' 'A4448AAB' 'A4448AAC'
 'A4448AAD' 'A4448AAE' 'A4448AAF' 'A4448AAG' 'A4448AAH' 'A4448AAI'
 'A4448AAJ' 'A4448AAK' 'A4448AAL' 'A4448AAM' 'A4448AAN' 'A4448AAO'
 'A4448AAP' 'A4448AAQ' 'A4448AAR' 'A4448AAS' 'A4448AAT' 'A4448BIA'
 'A4448ABA' 'A4448ABB' 'A4448ABC' 'A4448ABD' 'A4448ABE' 'A4448ABF'
 'A4448ABG' 'A4448ABH' 'A4448ABI' 'A4448ABJ' 'A4448ABK' 'A4448ABL'
 'A4448ABM' 'A4448ABN' 'A4448ABO' 'A4448ABP' 'A4448ABQ' 'A4448ABR'
 'A4448ABS' 'A4448ABT' 'A4448BGA' 'A4448BRA' 'A4448ACA' 'A4448ACB'
 'A4448ACC' 'A4448ACD' 'A4448ACE' 'A4448ACF' 'A4448ACG' 'A4448ACH'
 'A4448ACI' 'A4448ACJ' 'A4448ACK' 'A4448ACL' 'A4448ACM' 'A4448ACN'
 'A4448ACO' 'A4448ACP' 'A4448ACQ' 'A4448ACR' 'A4448ACS' 'A4448ACT'
 'A4448BGA' 'A4448BRA' 'A4448ACA' 'A4448ACB' 'A4448ACC' 'A4448ACD'
 'A4448ACE' 'A4448ACF' 'A4448ACG' 'A4448ACH' 'A4448ACI' 'A4448ACJ'
 'A4448ACK' 'A4448ACL' 'A4448ACM' 'A4448ACN' 'A4448ACO' 'A4448ACP'
 'A4448ACQ' 'A4448ACR' 'A4448ACS' 'A4448ACT' 'A4448CWA' 'A4448ADA'
 'A4448ADB' 'A4448ADC' 'A4448ADD' 'A4448ADE' 'A4448ADF' 'A4448ADG'
 'A4448ADH' 'A4448ADI' 'A4448ADJ' 'A4448ADK' 'A4448ADL' 'A4448ADM'
 'A4448ADN' 'A4448ADO' 'A4448ADP' 'A4448ADQ' 'A4448ADR' 'A4448ADS'
 'A4448ADT' 'A4448BLA' 'A4448AEA' 'A4448AEB' 'A4448AEC' 'A4448AED'
 'A4448AEE' 'A4448AEF' 'A4448AEG' 'A4448AEH' 'A4448AEI' 'A4448AEJ'
 'A4448AEK' 'A4448AEL' 'A4448AEM' 'A4448AEN' 'A4448AEO' 'A4448AEP'
 'A4448AEQ' 'A4448AER' 'A4448AES' 'A4448AET' 'A4448CGA' 'A4448BNA'
 'A4448APA' 'A4448APN' 'A4448APB' 'A4448APO' 'A4448APC' 'A4448APP'
 'A4448APD' 'A4448APQ' 'A4448APE' 'A4448APR' 'A4448APF' 'A4448APS'
 'A4448APG' 'A4448APT' 'A4448APH' 'A4448APU' 'A4448API' 'A4448APV'
 'A4448APJ' 'A4448APW' 'A4448BDA' 'A4448BTA' 'A4448CBA' 'A4448CCA'
 'A4448CDA' 'A4448CEA' 'A4448CFA' 'A4448BSA' 'A4448AJA' 'A4448AJB'
 'A4448AJC' 'A4448AJD' 'A4448AJE' 'A4448AJF' 'A4448AJG' 'A4448AJH'
 'A4448AJI' 'A4448AJJ' 'A4448AJK' 'A4448AJL' 'A4448AJM' 'A4448AJN'
 'A4448AJO' 'A4448AJP' 'A4448AJQ' 'A4448AJR' 'A4448AJS' 'A4448AJT'
 'A4448BUA' 'A4448BVA' 'A4448BWA' 'A4448BXA' 'A4448BYA' 'A4448BZA'
 'A4448CAA' 'A4448AIA' 'A4448AIB' 'A4448AIC' 'A4448AID' 'A4448AIE'
 'A4448AIF' 'A4448AIG' 'A4448AIH' 'A4448AII' 'A4448AIJ' 'A4448AIK'
 'A4448AIL' 'A4448AIM' 'A4448AIN' 'A4448AIO' 'A4448AIP' 'A4448AIQ'
 'A4448AIR' 'A4448AIS' 'A4448AIT' 'A4448CQA' 'A4448BBA' 'A4448AKC'
 'A4448AKD' 'A4448AKE' 'A4448AKF' 'A4448AKG' 'A4448AKH' 'A4448AKI'
 'A4448AKJ' 'A4448AKK' 'A4448AKL' 'A4448AKM' 'A4448AKN' 'A4448AKO'
 'A4448AKP' 'A4448AKQ' 'A4448AKR' 'A4448AKS' 'A4448AKT' 'A4448AKW'
 'A4448AKX' 'A4448CHA' 'A4448AFA' 'A4448AFB' 'A4448AFC' 'A4448AFD'
 'A4448AFE' 'A4448AFF' 'A4448AFG' 'A4448AFH' 'A4448AFI' 'A4448AFJ'
 'A4448AFK' 'A4448AFL' 'A4448AFM' 'A4448AFN' 'A4448AFO' 'A4448AFP'
 'A4448AFQ' 'A4448AFR' 'A4448AFS' 'A4448AFT' 'A4448BMA' 'A4448ANA'
 'A4448ANB' 'A4448ANC' 'A4448AND' 'A4448ANE' 'A4448ANF' 'A4448ANG'
 'A4448ANH' 'A4448ANI' 'A4448ANJ' 'A4448ANK' 'A4448ANL' 'A4448ANM'
 'A4448ANN' 'A4448ANQ' 'A4448ANR' 'A4448ANS' 'A4448ANT' 'A4448ANU'
 'A4448ANV' 'A4448BJA' 'A4448AGA' 'A4448AGB' 'A4448AGC' 'A4448AGD'
 'A4448AGE' 'A4448AGF' 'A4448AGG' 'A4448AGH' 'A4448AGI' 'A4448AGJ'
 'A4448AGK' 'A4448AGL' 'A4448AGM' 'A4448AGN' 'A4448AGO' 'A4448AGP'
 'A4448AGQ' 'A4448AGR' 'A4448AGS' 'A4448AGT' 'A4448ALA' 'A4448ALN'
 'A4448ALB' 'A4448ALO' 'A4448ALC' 'A4448ALP' 'A4448ALD' 'A4448ALQ'
 'A4448ALE' 'A4448ALR' 'A4448ALF' 'A4448ALS' 'A4448ALG' 'A4448ALT'
 'A4448ALH' 'A4448ALU' 'A4448ALI' 'A4448ALV' 'A4448ALJ' 'A4448ALW'
 'A4448AMA' 'A4448AMB' 'A4448AMC' 'A4448AMD' 'A4448AME' 'A4448AMF'
 'A4448AMG' 'A4448AMH' 'A4448AMI' 'A4448AMJ' 'A4448AMK' 'A4448AML'
 'A4448AMM' 'A4448AMN' 'A4448AMO' 'A4448AMP' 'A4448AMQ' 'A4448AMR'
 'A4448AMS' 'A4448AMT' 'A4448AHA' 'A4448AHB' 'A4448AHC' 'A4448AHD'
 'A4448AHE' 'A4448AHF' 'A4448AHG' 'A4448AHH' 'A4448AHI' 'A4448AHJ'
 'A4448AHK' 'A4448AHL' 'A4448AHM' 'A4448AHN' 'A4448AHO' 'A4448AHP'
 'A4448AHQ' 'A4448AHR' 'A4448AHS' 'A4448AHT' 'A4448BQA' 'A4448ARA'
 'A4448ARN' 'A4448ARB' 'A4448ARO' 'A4448ARC' 'A4448ARP' 'A4448ARD'
 'A4448ARQ' 'A4448ARE' 'A4448ARR' 'A4448ARF' 'A4448ARS' 'A4448ARG'
 'A4448ART' 'A4448ARH' 'A4448ARU' 'A4448ARI' 'A4448ARV' 'A4448ARJ'
 'A4448ARW' 'A4448BEA' 'A4448AWA' 'A4448BHA' 'A4448BFA' 'A4448BCA'
 'A4448CRA' 'A4448AXA' 'A4448BPA' 'A4448AOA' 'A4448AOB' 'A4448AOC'
 'A4448AOD' 'A4448AOE' 'A4448AOF' 'A4448AOG' 'A4448AOH' 'A4448AOI'
 'A4448AOJ' 'A4448AOK' 'A4448AOL' 'A4448AOM' 'A4448AON' 'A4448AOO'
 'A4448AOP' 'A4448AOQ' 'A4448AOR' 'A4448AOS' 'A4448AOT' 'A4448AZA'
 'A4448ATA' 'A4448ATB' 'A4448ATC' 'A4448ATD' 'A4448ATE' 'A4448ATF'
 'A4448ATG' 'A4448ATH' 'A4448ATI' 'A4448ATJ' 'A4448ATK' 'A4448ATL'
 'A4448ATM' 'A4448ATN' 'A4448ATO' 'A4448ATP' 'A4448ATQ' 'A4448ATR'
 'A4448ATS' 'A4448ATT' 'A4448BKA' 'A4448AUA' 'A4448AUB' 'A4448AUC'
 'A4448AUD' 'A4448AUE' 'A4448AUF' 'A4448AUG' 'A4448AUH' 'A4448AUI'
 'A4448AUJ' 'A4448AUK' 'A4448AUL' 'A4448AUM' 'A4448AUN' 'A4448AUO'
 'A4448AUP' 'A4448AUQ' 'A4448AUR' 'A4448AUS' 'A4448AUT' 'A4448AVA'
 'A4448CVA' 'A4448CIA' 'A4448CJA' 'A4448CKA' 'A4448CLA' 'A4448CMA'
 'A4448CNA' 'A4448COA' 'A4448CPC' 'A4448CSA' 'A4448CTA' 'A4448CUA'
 'A4448CIA' 'A4448CJA' 'A4448CKA' 'A4448CLA' 'A4448CMA' 'A4448CNA'
 'A4448COA' 'A4448CPC' 'A4448CSA' 'A4448CTA' 'A4448CUA' 'A4448CIA'
 'A4448CJA' 'A4448CKA' 'A4448CLA' 'A4448CMA' 'A4448CNA' 'A4448COA'
 'A4448CPC' 'A4448CSA' 'A4448CTA' 'A4448CUA' 'A4448CIA' 'A4448CJA'
 'A4448CKA' 'A4448CLA' 'A4448CMA' 'A4448CNA' 'A4448COA' 'A4448CPC'
 'A4448CSA' 'A4448CTA' 'A4448CUA' 'A4448CIA' 'A4448CJA' 'A4448CKA'
 'A4448CLA' 'A4448CMA' 'A4448CNA' 'A4448COA' 'A4448CPC' 'A4448CSA'
 'A4448CTA' 'A4448CUA' 'A4448CIA' 'A4448CJA' 'A4448CKA' 'A4448CLA'
 'A4448CMA' 'A4448CNA' 'A4448COA' 'A4448CPC' 'A4448CSA' 'A4448CTA'
 'A4448CUA' 'A4448CIA' 'A4448CJA' 'A4448CKA' 'A4448CLA' 'A4448CMA'
 'A4448CNA' 'A4448COA' 'A4448CPC' 'A4448CSA' 'A4448CTA' 'A4448CUA'
 'A4448CIA' 'A4448CJA' 'A4448CKA' 'A4448CLA' 'A4448CMA' 'A4448CNA'
 'A4448COA' 'A4448CPC' 'A4448CSA' 'A4448CTA' 'A4448CUA' 'A4448CIA'
 'A4448CJA' 'A4448CKA' 'A4448CLA' 'A4448CMA' 'A4448CNA' 'A4448COA'
 'A4448CPC' 'A4448CSA' 'A4448CTA' 'A4448CUA' 'A4448CIA' 'A4448CJA'
 'A4448CKA' 'A4448CLA' 'A4448CMA' 'A4448CNA' 'A4448COA' 'A4448CPC'
 'A4448CSA' 'A4448CTA' 'A4448CUA' 'A4448CIA' 'A4448CJA' 'A4448CKA'
 'A4448CLA' 'A4448CMA' 'A4448CNA' 'A4448COA' 'A4448CPC' 'A4448CSA'
 'A4448CTA' 'A4448CUA' 'A4448AQA' 'A4448AQB' 'A4448AQC' 'A4448AQD'
 'A4448AQE' 'A4448AQF' 'A4448AQG' 'A4448AQH' 'A4448AQI' 'A4448AQJ'
 'A4448AQK' 'A4448AQL' 'A4448AQM' 'A4448AQN' 'A4448AQO' 'A4448AQP'
 'A4448AQQ' 'A4448AQR' 'A4448AQS' 'A4448AQT' 'A4448CXA' 'A4448BOA'
 'A4448ASA' 'A4448ASB' 'A4448ASC' 'A4448ASD' 'A4448ASE' 'A4448ASF'
 'A4448ASG' 'A4448ASH' 'A4448ASI' 'A4448ASJ' 'A4448ASK' 'A4448ASL'
 'A4448ASM' 'A4448ASN' 'A4448ASO' 'A4448ASP' 'A4448ASQ' 'A4448ASR'
 'A4448ASS' 'A4448AST' 'A4448AYA' 'A4448BAA']"
244,azopardo ,2397.0,Santa Fe,Santa Fe,3000,False,S,calle azopardo,calle azopardo,['S3000IXC']
